Date,Open,High,Low,Close
30-March-2010,,,,6789.30,
31-March-2010,,,,6806.18,
1-April-2010,,,,6865.86,
5-April-2010,,,,6965.71,
6-April-2010,,,,7013.24,
7-April-2010,,,,7049.71,
8-April-2010,,,,7021.30,
9-April-2010,,,,7084.96,
12-April-2010,,,,7077.83,
13-April-2010,,,,7056.67,
15-April-2010,,,,7042.17,
16-April-2010,,,,7023.35,
19-April-2010,,,,6951.17,
20-April-2010,,,,7047.72,
21-April-2010,,,,7115.49,
22-April-2010,,,,7110.60,
23-April-2010,,,,7131.95,
26-April-2010,,,,7173.87,
27-April-2010,,,,7151.96,
28-April-2010,,,,7037.83,
29-April-2010,,,,7113.99,
30-April-2010,,,,7184.78,
3-May-2010,,,,7152.47,
4-May-2010,,,,7027.09,
5-May-2010,,,,7047.91,
6-May-2010,,,,7012.62,
7-May-2010,,,,6834.25,
10-May-2010,,,,6998.15,
11-May-2010,,,,6928.53,
12-May-2010,,,,6933.37,
13-May-2010,,,,7018.92,
14-May-2010,,,,6942.06,
17-May-2010,,,,6927.38,
18-May-2010,,,,6956.71,
19-May-2010,,,,6779.62,
20-May-2010,,,,6776.30,
21-May-2010,,,,6688.39,
24-May-2010,,,,6689.81,
25-May-2010,,,,6489.00,
26-May-2010,,,,6584.97,
27-May-2010,,,,6646.50,
28-May-2010,,,,6756.01,
31-May-2010,,,,6834.87,
1-June-2010,,,,6743.85,
2-June-2010,,,,6800.97,
3-June-2010,,,,6875.48,
4-June-2010,,,,6890.19,
7-June-2010,,,,6795.70,
8-June-2010,,,,6758.09,
9-June-2010,,,,6790.78,
10-June-2010,,,,6865.74,
11-June-2010,,,,6884.82,
14-June-2010,,,,6947.59,
15-June-2010,,,,6974.16,
16-June-2010,,,,6982.88,
17-June-2010,,,,7011.20,
18-June-2010,,,,6975.63,
21-June-2010,,,,7065.72,
22-June-2010,,,,7064.21,
23-June-2010,,,,7123.71,
24-June-2010,,,,7132.08,
25-June-2010,,,,7082.51,
28-June-2010,,,,7163.13,
29-June-2010,,,,7116.33,
30-June-2010,,,,7149.21,
1-July-2010,,,,7121.32,
2-July-2010,,,,7118.43,
5-July-2010,,,,7139.29,
6-July-2010,,,,7193.15,
7-July-2010,,,,7189.13,
8-July-2010,,,,7252.21,
9-July-2010,,,,7317.15,
12-July-2010,,,,7340.47,
13-July-2010,,,,7389.25,
14-July-2010,,,,7355.39,
15-July-2010,,,,7365.08,
16-July-2010,,,,7397.78,
19-July-2010,,,,7412.41,
20-July-2010,,,,7390.21,
21-July-2010,,,,7426.46,
22-July-2010,,,,7456.62,
23-July-2010,,,,7433.24,
26-July-2010,,,,7361.52,
27-July-2010,,,,7381.63,
28-July-2010,,,,7366.20,
29-July-2010,,,,7382.09,
30-July-2010,,,,7407.91,
2-August-2010,,,,7492.90,
3-August-2010,,,,7516.38,
4-August-2010,,,,7518.73,
5-August-2010,,,,7522.30,
6-August-2010,,,,7534.45,
9-August-2010,,,,7622.07,
10-August-2010,,,,7583.40,
11-August-2010,,,,7545.60,
12-August-2010,,,,7567.91,
13-August-2010,,,,7642.04,
16-August-2010,,,,7648.15,
17-August-2010,,,,7694.39,
18-August-2010,,,,7760.00,
19-August-2010,,,,7830.90,
20-August-2010,,,,7821.20,
23-August-2010,,,,7887.03,
24-August-2010,,,,7831.83,
25-August-2010,,,,7714.84,
26-August-2010,,,,7707.94,
27-August-2010,,,,7634.71,
30-August-2010,,,,7640.96,
31-August-2010,,,,7596.84,
1-September-2010,,,,7723.93,
2-September-2010,,,,7783.90,
3-September-2010,,,,7859.11,
6-September-2010,,,,7961.81,
7-September-2010,,,,7969.22,
8-September-2010,,,,7996.42,
9-September-2010,,,,8050.73,
13-September-2010,,,,8112.37,
14-September-2010,,,,8061.27,
15-September-2010,,,,8067.91,
16-September-2010,,,,7989.89,
17-September-2010,,,,8104.28,
20-September-2010,,,,8157.95,
21-September-2010,,,,8078.35,
22-September-2010,,,,8048.47,
23-September-2010,,,,8031.24,
24-September-2010,,,,8115.16,
27-September-2010,,,,8142.26,
28-September-2010,,,,8158.37,
29-September-2010,,,,8103.92,
30-September-2010,,,,8084.14,
1-October-2010,,,,8213.67,
4-October-2010,,,,8270.06,
5-October-2010,,,,8334.90,
6-October-2010,,,,8426.54,
7-October-2010,,,,8369.62,
8-October-2010,,,,8330.57,
11-October-2010,,,,8396.45,
12-October-2010,,,,8354.01,
13-October-2010,,,,8436.94,
14-October-2010,,,,8414.50,
15-October-2010,,,,8311.66,
18-October-2010,,,,8272.22,
19-October-2010,,,,8291.68,
20-October-2010,,,,8289.27,
21-October-2010,,,,8403.00,
22-October-2010,,,,8425.80,
25-October-2010,,,,8490.33,
26-October-2010,,,,8454.50,
27-October-2010,,,,8429.96,
28-October-2010,,,,8375.75,
29-October-2010,,,,8302.56,
1-November-2010,,,,8443.14,
2-November-2010,,,,8481.02,
3-November-2010,,,,8532.04,
4-November-2010,,,,8603.00,
5-November-2010,,,,8678.97,
8-November-2010,,,,8672.15,
9-November-2010,,,,8704.98,
10-November-2010,,,,8730.30,
11-November-2010,,,,8632.26,
12-November-2010,,,,8432.14,
15-November-2010,,,,8447.93,
16-November-2010,,,,8266.42,
18-November-2010,,,,8241.45,
19-November-2010,,,,8077.36,
22-November-2010,,,,8180.48,
23-November-2010,,,,8094.24,
24-November-2010,,,,8004.48,
25-November-2010,,,,7852.83,
26-November-2010,,,,7612.49,
29-November-2010,,,,7657.74,
30-November-2010,,,,7764.02,
1-December-2010,,,,7983.60,
2-December-2010,,,,8068.69,
3-December-2010,,,,7883.02,
6-December-2010,,,,7854.11,
7-December-2010,,,,7772.23,
8-December-2010,,,,7600.43,
9-December-2010,,,,7259.67,
10-December-2010,,,,7405.97,
13-December-2010,,,,7537.00,
14-December-2010,,,,7651.27,
15-December-2010,,,,7543.39,
16-December-2010,,,,7568.01,
20-December-2010,,,,7558.37,
21-December-2010,,,,7618.12,
22-December-2010,,,,7625.65,
23-December-2010,,,,7608.33,
24-December-2010,,,,7627.20,
27-December-2010,,,,7614.03,
28-December-2010,,,,7619.38,
29-December-2010,,,,7658.45,
30-December-2010,,,,7714.61,
31-December-2010,,,,7802.71,
3-January-2011,,,,7873.18,
4-January-2011,,,,7853.03,
5-January-2011,,,,7753.34,
6-January-2011,,,,7661.48,
7-January-2011,,,,7470.70,
10-January-2011,,,,7295.81,
11-January-2011,,,,7247.07,
12-January-2011,,,,7369.04,
13-January-2011,,,,7310.18,
14-January-2011,,,,7223.78,
17-January-2011,,,,7123.19,
18-January-2011,,,,7155.35,
19-January-2011,,,,7166.31,
20-January-2011,,,,7176.19,
21-January-2011,,,,7191.87,
24-January-2011,,,,7252.35,
25-January-2011,,,,7222.79,
27-January-2011,,,,7087.16,
28-January-2011,,,,6898.37,
31-January-2011,,,,6868.35,
1-February-2011,,,,6756.13,
2-February-2011,,,,6754.20,
3-February-2011,,,,6827.87,
4-February-2011,,,,6734.52,
7-February-2011,,,,6699.68,
8-February-2011,,,,6537.44,
9-February-2011,,,,6299.23,
10-February-2011,,,,6292.18,
11-February-2011,,,,6475.92,
14-February-2011,,,,6703.82,
15-February-2011,,,,6699.35,
16-February-2011,,,,6734.98,
17-February-2011,,,,6796.39,
18-February-2011,,,,6661.65,
21-February-2011,,,,6659.18,
22-February-2011,,,,6602.56,
23-February-2011,,,,6558.63,
24-February-2011,,,,6367.79,
25-February-2011,,,,6353.52,
28-February-2011,,,,6373.23,
1-March-2011,,,,6577.29,
3-March-2011,,,,6598.95,
4-March-2011,,,,6592.12,
7-March-2011,,,,6499.15,
8-March-2011,,,,6562.05,
9-March-2011,,,,6604.72,
10-March-2011,,,,6599.79,
11-March-2011,,,,6529.28,
14-March-2011,,,,6561.48,
15-March-2011,,,,6467.86,
16-March-2011,,,,6556.45,
17-March-2011,,,,6537.47,
18-March-2011,,,,6509.68,
21-March-2011,,,,6492.30,
22-March-2011,,,,6543.54,
23-March-2011,,,,6603.80,
24-March-2011,,,,6655.30,
25-March-2011,,,,6721.56,
28-March-2011,,,,6749.81,
29-March-2011,,,,6751.99,
30-March-2011,,,,6853.82,
31-March-2011,,,,6873.40,
1-April-2011,,,,6982.94,
4-April-2011,,,,7099.69,
5-April-2011,,,,7160.41,
6-April-2011,,,,7193.87,
7-April-2011,,,,7264.29,
8-April-2011,,,,7173.50,
11-April-2011,,,,7123.57,
13-April-2011,,,,7223.62,
15-April-2011,,,,7209.17,
18-April-2011,,,,7116.12,
19-April-2011,,,,7141.92,
20-April-2011,,,,7225.87,
21-April-2011,,,,7235.33,
25-April-2011,,,,7241.58,
26-April-2011,,,,7239.28,
27-April-2011,,,,7238.71,
28-April-2011,,,,7168.45,
29-April-2011,,,,7094.26,
2-May-2011,,,,7027.83,
3-May-2011,,,,6897.34,
4-May-2011,,,,6865.96,
5-May-2011,,,,6800.66,
6-May-2011,,,,6863.78,
9-May-2011,,,,6871.68,
10-May-2011,,,,6868.67,
11-May-2011,,,,6907.09,
12-May-2011,,,,6844.16,
13-May-2011,,,,6902.58,
16-May-2011,,,,6849.59,
17-May-2011,,,,6804.16,
18-May-2011,,,,6762.85,
19-May-2011,,,,6715.23,
20-May-2011,,,,6756.41,
23-May-2011,,,,6661.47,
24-May-2011,,,,6661.22,
25-May-2011,,,,6623.09,
26-May-2011,,,,6632.38,
27-May-2011,,,,6730.36,
30-May-2011,,,,6787.74,
31-May-2011,,,,6910.24,
1-June-2011,,,,6966.85,
2-June-2011,,,,6919.37,
3-June-2011,,,,6896.14,
6-June-2011,,,,6878.90,
7-June-2011,,,,6931.77,
8-June-2011,,,,6929.61,
9-June-2011,,,,6921.59,
10-June-2011,,,,6898.28,
13-June-2011,,,,6917.65,
14-June-2011,,,,6959.10,
15-June-2011,,,,6920.81,
16-June-2011,,,,6871.75,
17-June-2011,,,,6814.79,
20-June-2011,,,,6598.07,
21-June-2011,,,,6583.97,
22-June-2011,,,,6528.41,
23-June-2011,,,,6524.21,
24-June-2011,,,,6671.70,
27-June-2011,,,,6726.54,
28-June-2011,,,,6779.30,
29-June-2011,,,,6832.34,
30-June-2011,,,,6854.05,
1-July-2011,,,,6901.67,
4-July-2011,,,,6965.34,
5-July-2011,,,,6958.91,
6-July-2011,,,,6961.51,
7-July-2011,,,,7039.52,
8-July-2011,,,,6996.31,
11-July-2011,,,,6974.28,
12-July-2011,,,,6898.36,
13-July-2011,,,,6988.30,
14-July-2011,,,,7014.58,
