Historical Mutual Fund NAV of SBI-ETF Gold,
scheme:- SBI-ETF Gold,
Start Date:- 28-04-2009,
End Date:- 24-11-2020,
NAV Date,NAV (Rs)
04-03-2015,2533.3777
03-03-2015,2539.4897
02-03-2015,2556.0629
27-02-2015,2532.7901
26-02-2015,2569.2571
25-02-2015,2547.725
24-02-2015,2535.3656
23-02-2015,2528.2504
20-02-2015,2550.1329
18-02-2015,2554.2548
16-02-2015,2604.1945
13-02-2015,2596.3927
12-02-2015,2606.5823
11-02-2015,2615.7403
10-02-2015,2612.3841
09-02-2015,2628.2405
06-02-2015,2654.0976
05-02-2015,2658.4676
04-02-2015,2661.3581
03-02-2015,2685.9309
02-02-2015,2678.9333
30-01-2015,2653.8828
29-01-2015,2659.7842
28-01-2015,2677.9725
27-01-2015,2665.1129
23-01-2015,2694.0738
22-01-2015,2689.5154
21-01-2015,2707.2803
20-01-2015,2705.7745
19-01-2015,2668.3041
16-01-2015,2643.4284
15-01-2015,2595.0705
14-01-2015,2597.7352
13-01-2015,2615.3629
12-01-2015,2585.2938
09-01-2015,2573.7642
08-01-2015,2585.9632
07-01-2015,2618.0149
06-01-2015,2610.3322
05-01-2015,2573.6541
02-01-2015,2555.1138
01-01-2015,2585.6776
31-12-2014,2586.1158
30-12-2014,2579.233
29-12-2014,2590.4156
26-12-2014,2556.7896
24-12-2014,2550.6075
23-12-2014,2555.0237
22-12-2014,2575.6987
19-12-2014,2576.2375
18-12-2014,2605.9064
17-12-2014,2592.9621
16-12-2014,2587.3203
15-12-2014,2581.3896
12-12-2014,2593.1912
11-12-2014,2576.7338
10-12-2014,2583.8036
09-12-2014,2539.7942
08-12-2014,2520.3764
05-12-2014,2535.4559
04-12-2014,2535.8283
03-12-2014,2534.8204
02-12-2014,2524.4612
01-12-2014,2497.5854
28-11-2014,2496.559
27-11-2014,2515.4169
26-11-2014,2514.086
25-11-2014,2528.465
24-11-2014,2511.5172
21-11-2014,2509.0919
20-11-2014,2517.2989
19-11-2014,2519.9946
18-11-2014,2521.687
17-11-2014,2488.5683
14-11-2014,2433.201
13-11-2014,2443.223
12-11-2014,2444.7543
11-11-2014,2424.7274
10-11-2014,2460.3899
07-11-2014,2412.1324
05-11-2014,2408.5904
03-11-2014,2457.6644
31-10-2014,2468.5598
30-10-2014,2531.9587
29-10-2014,2568.4761
28-10-2014,2570.333
27-10-2014,2569.9541
22-10-2014,2601.0786
21-10-2014,2612.9064
20-10-2014,2592.381
17-10-2014,2599.4979
16-10-2014,2600.9881
14-10-2014,2568.8052
13-10-2014,2564.7025
10-10-2014,2550.9501
09-10-2014,2556.119
08-10-2014,2558.2288
07-10-2014,2530.779
01-10-2014,2545.4885
30-09-2014,2543.2619
29-09-2014,2553.438
26-09-2014,2567.5729
25-09-2014,2524.9814
24-09-2014,2550.5236
23-09-2014,2546.4736
22-09-2014,2522.8574
19-09-2014,2539.5926
18-09-2014,2547.0641
17-09-2014,2568.5563
16-09-2014,2578.4661
15-09-2014,2566.9406
12-09-2014,2577.9938
11-09-2014,2599.1959
10-09-2014,2609.3547
09-09-2014,2597.2674
08-09-2014,2611.7772
05-09-2014,2612.8086
04-09-2014,2627.5259
03-09-2014,2626.4896
02-09-2014,2646.3526
01-09-2014,2658.6946
28-08-2014,2664.0319
27-08-2014,2658.2563
26-08-2014,2662.2304
25-08-2014,2649.342
22-08-2014,2649.8969
21-08-2014,2664.6451
20-08-2014,2686.9466
19-08-2014,2700.0242
14-08-2014,2741.3962
13-08-2014,2735.1868
12-08-2014,2736.0779
11-08-2014,2728.2181
08-08-2014,2763.7457
07-08-2014,2723.8443
06-08-2014,2695.3831
05-08-2014,2684.8265
04-08-2014,2692.2772
01-08-2014,2668.9362
31-07-2014,2664.4598
30-07-2014,2667.6567
28-07-2014,2679.7626
25-07-2014,2658.5922
24-07-2014,2666.7997
23-07-2014,2688.015
22-07-2014,2689.2947
21-07-2014,2697.9584
18-07-2014,2699.3845
17-07-2014,2675.3698
16-07-2014,2667.7361
15-07-2014,2697.6139
14-07-2014,2706.0615
11-07-2014,2741.8582
10-07-2014,2741.5425
09-07-2014,2697.3102
08-07-2014,2692.4508
07-07-2014,2689.351
04-07-2014,2698.5749
03-07-2014,2699.0482
02-07-2014,2717.2517
01-07-2014,2722.128
30-06-2014,2686.651
27-06-2014,2691.1106
26-06-2014,2686.9167
25-06-2014,2692.638
24-06-2014,2706.0148
23-06-2014,2692.0708
20-06-2014,2689.2591
19-06-2014,2624.0421
18-06-2014,2604.8457
17-06-2014,2606.1175
16-06-2014,2623.8836
13-06-2014,2585.3839
12-06-2014,2559.0071
11-06-2014,2560.3103
10-06-2014,2541.6063
09-06-2014,2536.4846
06-06-2014,2540.1424
05-06-2014,2528.2218
04-06-2014,2532.0547
03-06-2014,2524.1722
02-06-2014,2522.2981
30-05-2014,2544.7805
29-05-2014,2537.4011
28-05-2014,2567.0483
27-05-2014,2598.6706
26-05-2014,2596.2787
23-05-2014,2592.3029
22-05-2014,2600.5141
21-05-2014,2603.9997
20-05-2014,2602.0797
19-05-2014,2606.4791
16-05-2014,2611.0307
15-05-2014,2655.9364
13-05-2014,2652.017
12-05-2014,2646.1477
09-05-2014,2652.4065
08-05-2014,2654.1315
07-05-2014,2692.6987
06-05-2014,2694.7032
05-05-2014,2645.005
02-05-2014,2652.2626
30-04-2014,2675.1745
29-04-2014,2678.5548
28-04-2014,2700.637
25-04-2014,2710.9137
23-04-2014,2688.8718
22-04-2014,2688.4595
21-04-2014,2689.1661
17-04-2014,2689.7653
16-04-2014,2683.1618
15-04-2014,2701.8973
11-04-2014,2713.0577
10-04-2014,2718.7546
09-04-2014,2691.418
07-04-2014,2666.5684
04-04-2014,2671.5274
03-04-2014,2657.564
02-04-2014,2632.5806
31-03-2014,2671.9036
28-03-2014,2689.9969
27-03-2014,2689.8329
26-03-2014,2727.83
25-03-2014,2741.419
24-03-2014,2763.5909
21-03-2014,2808.9013
20-03-2014,2791.8375
19-03-2014,2826.3348
18-03-2014,2851.1056
14-03-2014,2882.3009
13-03-2014,2862.9247
12-03-2014,2837.3559
11-03-2014,2806.448
10-03-2014,2801.2757
07-03-2014,2819.0391
06-03-2014,2810.8356
05-03-2014,2831.4174
04-03-2014,2844.9808
03-03-2014,2852.2708
28-02-2014,2829.529
26-02-2014,2840.0459
25-02-2014,2827.7975
24-02-2014,2834.1893
21-02-2014,2812.5556
20-02-2014,2804.1372
18-02-2014,2798.145
17-02-2014,2814.166
14-02-2014,2783.5144
13-02-2014,2748.2652
12-02-2014,2735.2248
11-02-2014,2740.5976
10-02-2014,2713.0827
07-02-2014,2692.1239
06-02-2014,2693.6723
05-02-2014,2688.813
04-02-2014,2690.0683
03-02-2014,2677.8324
31-01-2014,2671.6803
30-01-2014,2696.2412
29-01-2014,2676.9943
28-01-2014,2705.39
27-01-2014,2726.7492
24-01-2014,2685.0789
23-01-2014,2648.9914
22-01-2014,2637.3332
21-01-2014,2638.3009
20-01-2014,2655.5545
17-01-2014,2618.6247
16-01-2014,2619.1226
15-01-2014,2613.4504
13-01-2014,2626.1668
10-01-2014,2616.11
09-01-2014,2613.5288
08-01-2014,2616.9156
07-01-2014,2643.3902
06-01-2014,2642.3986
03-01-2014,2634.5999
02-01-2014,2593.5108
01-01-2014,2559.7917
31-12-2013,2562.2494
30-12-2013,2566.2609
27-12-2013,2583.4447
26-12-2013,2555.8948
24-12-2013,2551.9734
23-12-2013,2549.4775
20-12-2013,2563.2575
19-12-2013,2585.8414
18-12-2013,2622.2223
17-12-2013,2631.4908
16-12-2013,2622.1986
13-12-2013,2614.6396
12-12-2013,2635.0072
11-12-2013,2646.2028
10-12-2013,2623.4089
09-12-2013,2589.695
06-12-2013,2612.8017
05-12-2013,2623.9418
04-12-2013,2608.1588
03-12-2013,2620.2129
02-12-2013,2651.4121
29-11-2013,2673.0266
28-11-2013,2671.7938
27-11-2013,2688.1715
26-11-2013,2691.5077
25-11-2013,2659.8104
22-11-2013,2696.5719
21-11-2013,2703.7633
20-11-2013,2735.4946
19-11-2013,2724.0687
18-11-2013,2761.5177
14-11-2013,2780.6675
13-11-2013,2789.9704
12-11-2013,2811.8983
11-11-2013,2805.4916
08-11-2013,2832.194
07-11-2013,2835.4539
06-11-2013,2810.7664
05-11-2013,2794.3088
01-11-2013,2805.9871
31-10-2013,2823.2015
30-10-2013,2856.4517
29-10-2013,2835.3652
28-10-2013,2845.195
25-10-2013,2832.8209
24-10-2013,2813.4537
23-10-2013,2812.4444
22-10-2013,2782.0143
21-10-2013,2778.2687
18-10-2013,2771.6259
17-10-2013,2769.4137
15-10-2013,2683.9081
14-10-2013,2707.7157
11-10-2013,2720.5413
10-10-2013,2783.4968
09-10-2013,2796.6903
08-10-2013,2809.4303
07-10-2013,2793.9226
04-10-2013,2788.4599
03-10-2013,2802.2206
01-10-2013,2864.4469
30-09-2013,2886.2541
27-09-2013,2818.9161
26-09-2013,2857.279
25-09-2013,2853.0996
24-09-2013,2844.2377
23-09-2013,2848.7947
20-09-2013,2902.2357
19-09-2013,2894.4003
18-09-2013,2828.8647
17-09-2013,2872.7568
16-09-2013,2847.9502
13-09-2013,2906.0987
12-09-2013,2964.4125
11-09-2013,3023.8915
10-09-2013,3052.8235
06-09-2013,3117.933
05-09-2013,3162.1412
04-09-2013,3229.9017
03-09-2013,3197.8436
02-09-2013,3153.6231
30-08-2013,3189.8023
29-08-2013,3249.0723
28-08-2013,3319.326
27-08-2013,3170.725
26-08-2013,3035.0525
23-08-2013,3054.6732
22-08-2013,3063.1065
21-08-2013,2958.6883
20-08-2013,2981.7166
19-08-2013,2941.0793
16-08-2013,2890.8368
14-08-2013,2803.6625
13-08-2013,2820.8797
12-08-2013,2726.1007
08-08-2013,2667.1075
07-08-2013,2655.0084
06-08-2013,2692.2563
05-08-2013,2699.4679
02-08-2013,2651.1841
01-08-2013,2713.988
31-07-2013,2737.4813
30-07-2013,2666.8707
29-07-2013,2660.6888
26-07-2013,2639.4458
25-07-2013,2611.82
24-07-2013,2684.2982
23-07-2013,2669.8542
22-07-2013,2634.3323
19-07-2013,2598.799
18-07-2013,2586.7565
17-07-2013,2581.1389
16-07-2013,2585.6413
15-07-2013,2596.0026
12-07-2013,2578.345
11-07-2013,2578.9573
10-07-2013,2545.3729
09-07-2013,2542.685
08-07-2013,2530.4268
05-07-2013,2514.3626
04-07-2013,2531.9843
03-07-2013,2525.8964
02-07-2013,2526.5545
28-06-2013,2440.6575
27-06-2013,2528.3318
26-06-2013,2494.5651
25-06-2013,2592.9221
24-06-2013,2590.9802
21-06-2013,2600.6816
20-06-2013,2630.4988
19-06-2013,2706.4749
18-06-2013,2716.8072
17-06-2013,2699.4001
14-06-2013,2692.9862
13-06-2013,2733.8689
12-06-2013,2711.5834
11-06-2013,2725.4522
10-06-2013,2689.738
07-06-2013,2704.2101
06-06-2013,2685.4869
05-06-2013,2609.9908
04-06-2013,2635.026
03-06-2013,2617.1545
31-05-2013,2631.4556
30-05-2013,2607.1294
29-05-2013,2575.4319
28-05-2013,2544.3534
27-05-2013,2549.9972
24-05-2013,2549.7326
23-05-2013,2567.7005
22-05-2013,2546.2575
21-05-2013,2522.9989
20-05-2013,2480.1412
17-05-2013,2513.374
16-05-2013,2507.1553
15-05-2013,2571.5174
14-05-2013,2606.0065
13-05-2013,2607.4411
10-05-2013,2624.1819
09-05-2013,2644.9451
08-05-2013,2615.1246
07-05-2013,2635.76
06-05-2013,2643.5938
03-05-2013,2643.945
02-05-2013,2599.2942
30-04-2013,2648.1759
29-04-2013,2650.5167
26-04-2013,2626.6226
25-04-2013,2594.5268
23-04-2013,2550.9535
22-04-2013,2558.2467
18-04-2013,2506.3938
17-04-2013,2488.9104
16-04-2013,2503.9816
15-04-2013,2588.93
12-04-2013,2805.3636
10-04-2013,2867.0035
09-04-2013,2848.2149
08-04-2013,2869.2188
05-04-2013,2835.3922
04-04-2013,2811.4865
03-04-2013,2838.6151
02-04-2013,2885.6735
31-03-2013,2892.1604
28-03-2013,2892.455
26-03-2013,2877.97
25-03-2013,2877.7964
22-03-2013,2905.486
21-03-2013,2898.8046
20-03-2013,2908.4107
19-03-2013,2887.4886
18-03-2013,2883.8803
15-03-2013,2868.6415
14-03-2013,2868.7139
13-03-2013,2863.3106
12-03-2013,2859.3884
11-03-2013,2848.8574
08-03-2013,2853.6763
07-03-2013,2875.4919
06-03-2013,2862.8604
05-03-2013,2877.7311
04-03-2013,2886.8715
01-03-2013,2850.0127
28-02-2013,2850.582
27-02-2013,2883.1141
26-02-2013,2875.7535
25-02-2013,2866.6749
22-02-2013,2864.8715
21-02-2013,2843.5048
20-02-2013,2879.0461
18-02-2013,2906.8734
15-02-2013,2925.5204
14-02-2013,2944.4466
13-02-2013,2950.1545
12-02-2013,2945.3072
11-02-2013,2967.5099
08-02-2013,2972.5201
07-02-2013,2966.1634
06-02-2013,2953.6312
05-02-2013,2977.9468
04-02-2013,2938.4053
01-02-2013,2958.1881
