Historical Mutual Fund NAV of KOTAK GOLD ETF,
scheme:- KOTAK GOLD ETF,
Start Date:- 27-07-2007,
End Date:- 24-11-2020,
NAV Date,NAV (Rs)
13-05-2014,258.6256
12-05-2014,258.0546
09-05-2014,258.6666
08-05-2014,258.8371
07-05-2014,262.6087
06-05-2014,262.8042
05-05-2014,257.9466
02-05-2014,258.658
30-04-2014,260.8943
29-04-2014,261.224
28-04-2014,263.3845
25-04-2014,264.3866
23-04-2014,262.2336
22-04-2014,262.1982
21-04-2014,262.2726
17-04-2014,262.3355
16-04-2014,261.6922
15-04-2014,263.5262
11-04-2014,264.6232
10-04-2014,265.1826
09-04-2014,262.5097
07-04-2014,260.0814
04-04-2014,260.5664
03-04-2014,259.2029
02-04-2014,256.763
28-03-2014,262.3661
27-03-2014,262.354
26-03-2014,266.078
25-03-2014,267.4091
24-03-2014,269.5815
21-03-2014,274.026
20-03-2014,272.3593
19-03-2014,275.7412
18-03-2014,278.1721
14-03-2014,281.237
13-03-2014,279.3506
12-03-2014,276.852
11-03-2014,273.8355
10-03-2014,273.3276
07-03-2014,275.079
06-03-2014,274.2759
05-03-2014,276.2885
04-03-2014,277.62
03-03-2014,278.3385
28-02-2014,275.3892
26-02-2014,277.1619
25-02-2014,275.9667
24-02-2014,276.5951
21-02-2014,274.4897
20-02-2014,273.6783
18-02-2014,273.0954
17-02-2014,274.6655
14-02-2014,271.6656
13-02-2014,268.2177
12-02-2014,266.944
11-02-2014,267.4673
10-02-2014,264.7778
07-02-2014,262.7276
06-02-2014,262.8779
05-02-2014,262.4036
04-02-2014,262.5248
03-02-2014,261.3278
31-01-2014,260.7301
30-01-2014,263.1484
29-01-2014,261.2715
28-01-2014,264.0427
27-01-2014,266.1366
24-01-2014,262.0666
23-01-2014,258.5377
22-01-2014,257.3982
21-01-2014,257.4977
20-01-2014,259.1827
17-01-2014,255.5741
16-01-2014,255.6223
15-01-2014,255.0677
13-01-2014,256.3166
10-01-2014,255.3322
09-01-2014,255.0784
08-01-2014,255.411
07-01-2014,258.004
06-01-2014,257.9091
03-01-2014,257.1491
02-01-2014,253.1311
01-01-2014,249.8292
31-12-2013,250.072
30-12-2013,250.4654
27-12-2013,252.1532
26-12-2013,249.4565
24-12-2013,249.0766
23-12-2013,248.8323
20-12-2013,250.1869
19-12-2013,252.401
18-12-2013,255.9735
17-12-2013,256.884
16-12-2013,255.9748
13-12-2013,255.2422
12-12-2013,257.2646
11-12-2013,258.367
10-12-2013,256.1388
09-12-2013,252.84
06-12-2013,255.1065
05-12-2013,256.2004
04-12-2013,254.6503
03-12-2013,255.8338
02-12-2013,258.895
29-11-2013,261.5764
28-11-2013,260.9021
27-11-2013,262.5107
26-11-2013,262.8398
25-11-2013,259.7336
22-11-2013,263.3419
21-11-2013,264.0512
20-11-2013,267.1683
19-11-2013,266.0545
18-11-2013,269.725
14-11-2013,271.6105
13-11-2013,272.5195
12-11-2013,274.6735
11-11-2013,274.0516
08-11-2013,276.6848
07-11-2013,277.0093
06-11-2013,274.6156
05-11-2013,273.008
01-11-2013,274.1635
31-10-2013,275.8586
30-10-2013,279.1187
29-10-2013,277.0567
28-10-2013,278.0224
25-10-2013,276.8876
24-10-2013,275.0003
23-10-2013,274.9261
22-10-2013,271.9464
21-10-2013,271.5854
18-10-2013,270.9456
17-10-2013,270.7287
15-10-2013,262.3556
14-10-2013,264.6954
11-10-2013,266.0221
10-10-2013,272.1668
09-10-2013,273.4662
08-10-2013,274.7212
07-10-2013,273.2025
04-10-2013,272.6799
03-10-2013,274.0272
01-10-2013,280.1328
30-09-2013,282.2706
27-09-2013,275.6854
26-09-2013,279.4472
25-09-2013,279.0354
24-09-2013,278.1698
23-09-2013,278.6215
20-09-2013,283.8765
19-09-2013,283.1164
18-09-2013,276.6826
17-09-2013,280.9897
16-09-2013,278.57
13-09-2013,284.2701
12-09-2013,289.9943
11-09-2013,295.8257
10-09-2013,298.6507
06-09-2013,305.0268
05-09-2013,309.364
04-09-2013,315.9885
03-09-2013,312.8526
02-09-2013,308.5124
30-08-2013,312.0551
29-08-2013,317.788
28-08-2013,324.6023
27-08-2013,310.0221
26-08-2013,296.7351
23-08-2013,298.6614
22-08-2013,299.4817
21-08-2013,289.2752
20-08-2013,291.5384
19-08-2013,287.5739
16-08-2013,282.6615
14-08-2013,274.1228
13-08-2013,275.8135
12-08-2013,266.5292
08-08-2013,260.7492
07-08-2013,259.5666
06-08-2013,263.2166
05-08-2013,263.932
02-08-2013,259.2028
01-08-2013,265.3603
31-07-2013,267.6603
30-07-2013,260.7542
29-07-2013,260.1549
26-07-2013,258.0799
25-07-2013,255.3726
24-07-2013,262.4734
23-07-2013,261.0559
22-07-2013,257.5779
19-07-2013,254.0934
18-07-2013,252.9146
17-07-2013,252.3698
16-07-2013,252.8119
15-07-2013,253.8218
12-07-2013,252.0951
11-07-2013,252.1589
10-07-2013,248.8607
09-07-2013,248.5981
08-07-2013,247.3842
05-07-2013,246.0964
04-07-2013,247.8256
03-07-2013,247.2291
02-07-2013,247.2981
28-06-2013,238.8828
27-06-2013,247.468
26-06-2013,244.1641
25-06-2013,253.8035
24-06-2013,254.9626
21-06-2013,254.7475
20-06-2013,257.6696
19-06-2013,265.1206
18-06-2013,266.1346
17-06-2013,264.4284
14-06-2013,263.7933
13-06-2013,267.797
12-06-2013,265.6105
11-06-2013,266.9663
10-06-2013,263.4658
07-06-2013,264.8814
06-06-2013,263.0427
05-06-2013,255.6362
04-06-2013,258.0897
03-06-2013,256.3348
31-05-2013,257.7314
30-05-2013,255.3454
29-05-2013,252.2322
28-05-2013,249.1817
27-05-2013,249.7307
24-05-2013,249.6913
23-05-2013,251.4481
22-05-2013,249.3377
21-05-2013,247.0539
20-05-2013,242.8481
17-05-2013,246.105
16-05-2013,245.495
15-05-2013,251.806
14-05-2013,255.1945
13-05-2013,255.3368
10-05-2013,256.987
09-05-2013,259.0258
08-05-2013,256.1054
07-05-2013,258.1301
06-05-2013,258.9014
03-05-2013,258.9427
02-05-2013,254.5697
30-04-2013,259.3629
29-04-2013,259.5912
26-04-2013,257.254
25-04-2013,254.1087
23-04-2013,249.8352
22-04-2013,250.5498
18-04-2013,245.4627
17-04-2013,243.7479
16-04-2013,245.2229
15-04-2013,253.5441
12-04-2013,274.7556
10-04-2013,280.7958
09-04-2013,278.953
08-04-2013,281.0102
05-04-2013,277.6899
04-04-2013,275.3457
03-04-2013,278.0046
02-04-2013,282.6167
28-03-2013,283.3173
26-03-2013,281.8961
25-03-2013,281.8789
22-03-2013,284.5997
21-03-2013,283.9469
20-03-2013,284.8908
19-03-2013,282.8417
18-03-2013,282.4897
15-03-2013,281.002
14-03-2013,281.0102
