Historical Mutual Fund NAV of KOTAK GOLD ETF,
scheme:- KOTAK GOLD ETF,
Start Date:- 27-07-2007,
End Date:- 24-11-2020,
NAV Date,NAV (Rs)
21-06-2011,218.8094
20-06-2011,218.36
17-06-2011,216.5879
16-06-2011,216.277
15-06-2011,214.2288
14-06-2011,214.8346
13-06-2011,216.1098
10-06-2011,217.6836
09-06-2011,216.7152
08-06-2011,216.4034
07-06-2011,218.8286
06-06-2011,217.9515
03-06-2011,216.9537
02-06-2011,218.7539
01-06-2011,217.3314
31-05-2011,218.6729
30-05-2011,217.3286
27-05-2011,217.8694
26-05-2011,217.7621
25-05-2011,218.9721
24-05-2011,217.4787
23-05-2011,215.8989
20-05-2011,213.4653
19-05-2011,211.7442
18-05-2011,212.5651
16-05-2011,213.0581
13-05-2011,214.569
12-05-2011,210.8322
11-05-2011,215.4233
10-05-2011,214.6088
09-05-2011,212.7664
06-05-2011,210.7512
05-05-2011,213.4988
04-05-2011,216.5879
03-05-2011,216.8467
02-05-2011,214.5202
29-04-2011,214.9149
28-04-2011,214.6818
27-04-2011,211.8384
26-04-2011,212.3217
25-04-2011,211.9479
21-04-2011,211.2653
20-04-2011,211.3707
19-04-2011,211.3932
18-04-2011,208.0349
15-04-2011,207.5443
13-04-2011,205.3599
11-04-2011,205.6817
08-04-2011,205.102
07-04-2011,204.0036
06-04-2011,203.9871
05-04-2011,202.0103
31-03-2011,202.4467
30-03-2011,201.3132
29-03-2011,200.1791
28-03-2011,201.5139
25-03-2011,202.9042
24-03-2011,204.4653
23-03-2011,204.1713
22-03-2011,203.1694
21-03-2011,203.8475
18-03-2011,202.3196
17-03-2011,201.295
16-03-2011,200.3326
15-03-2011,201.9317
14-03-2011,203.8748
11-03-2011,202.0795
10-03-2011,203.686
09-03-2011,204.31
08-03-2011,204.8524
07-03-2011,205.5883
04-03-2011,202.3085
03-03-2011,203.9351
01-03-2011,202.4086
28-02-2011,202.0093
25-02-2011,202.1904
24-02-2011,203.5419
23-02-2011,200.9255
22-02-2011,199.9784
21-02-2011,200.2963
18-02-2011,198.6457
17-02-2011,198.3129
15-02-2011,197.9509
14-02-2011,195.9678
11-02-2011,197.409
10-02-2011,196.6137
09-02-2011,196.0876
08-02-2011,195.1435
07-02-2011,194.9994
04-02-2011,195.2976
03-02-2011,193.1214
02-02-2011,193.7685
01-02-2011,194.5986
31-01-2011,194.6155
28-01-2011,191.2532
27-01-2011,193.6193
25-01-2011,191.8271
24-01-2011,195.1004
21-01-2011,195.1228
20-01-2011,197.5428
19-01-2011,198.0059
18-01-2011,197.9447
17-01-2011,196.6043
14-01-2011,197.052
13-01-2011,197.9509
12-01-2011,198.4739
11-01-2011,198.818
10-01-2011,197.5311
07-01-2011,195.7937
06-01-2011,198.0912
05-01-2011,198.5758
04-01-2011,200.2119
03-01-2011,200.1329
31-12-2010,200.767
30-12-2010,201.3449
29-12-2010,201.1942
28-12-2010,198.1701
27-12-2010,198.0882
24-12-2010,198.4503
23-12-2010,198.0408
22-12-2010,199.2283
21-12-2010,199.3751
20-12-2010,199.1918
16-12-2010,199.6826
15-12-2010,199.9869
14-12-2010,201.002
13-12-2010,199.6924
10-12-2010,199.8259
09-12-2010,198.4831
08-12-2010,200.1072
07-12-2010,203.2377
06-12-2010,201.2537
03-12-2010,199.5443
02-12-2010,200.5223
01-12-2010,202.1795
30-11-2010,201.2902
29-11-2010,198.1544
26-11-2010,198.8029
25-11-2010,198.9514
24-11-2010,199.8645
23-11-2010,197.4774
22-11-2010,195.6233
19-11-2010,195.5118
18-11-2010,196.2184
16-11-2010,196.1712
15-11-2010,196.3646
12-11-2010,197.0261
11-11-2010,198.9378
10-11-2010,198.034
09-11-2010,200.0646
08-11-2010,195.8103
04-11-2010,192.0681
03-11-2010,191.8973
02-11-2010,192.1311
01-11-2010,192.5816
29-10-2010,189.6561
28-10-2010,188.0228
27-10-2010,188.9549
26-10-2010,188.8276
25-10-2010,190.0684
22-10-2010,186.8845
21-10-2010,190.1244
20-10-2010,189.175
19-10-2010,193.6905
18-10-2010,191.7285
15-10-2010,193.1771
14-10-2010,194.3146
13-10-2010,192.6044
12-10-2010,191.5303
11-10-2010,190.3752
08-10-2010,188.2255
07-10-2010,191.8382
06-10-2010,190.1931
05-10-2010,188.9952
04-10-2010,186.1881
01-10-2010,187.0635
29-09-2010,187.2883
28-09-2010,185.5392
27-09-2010,186.4854
24-09-2010,188.5012
23-09-2010,187.7817
22-09-2010,187.5794
21-09-2010,186.5322
20-09-2010,186.2702
17-09-2010,187.9118
16-09-2010,187.7601
15-09-2010,187.921
14-09-2010,185.433
13-09-2010,183.7139
09-09-2010,186.2441
08-09-2010,187.4621
07-09-2010,185.932
06-09-2010,185.3641
03-09-2010,186.4909
02-09-2010,186.305
01-09-2010,186.9935
31-08-2010,185.387
30-08-2010,184.6089
27-08-2010,184.7015
26-08-2010,185.3584
25-08-2010,185.4261
24-08-2010,182.0243
23-08-2010,182.6566
20-08-2010,183.0676
18-08-2010,182.2119
17-08-2010,182.8467
16-08-2010,182.6132
13-08-2010,180.8361
12-08-2010,180.0054
11-08-2010,178.2092
10-08-2010,177.1286
09-08-2010,177.6058
06-08-2010,175.7701
05-08-2010,176.7082
04-08-2010,176.5304
03-08-2010,175.0128
02-08-2010,174.0365
30-07-2010,173.5922
29-07-2010,173.9283
28-07-2010,173.4211
27-07-2010,177.0572
26-07-2010,178.1692
23-07-2010,180.1463
22-07-2010,179.6491
21-07-2010,179.9857
20-07-2010,177.9867
19-07-2010,179.2107
16-07-2010,180.3081
15-07-2010,181.1129
14-07-2010,180.772
13-07-2010,181.0732
12-07-2010,179.9162
09-07-2010,178.9061
08-07-2010,180.0243
07-07-2010,178.6423
06-07-2010,181.2422
05-07-2010,180.498
02-07-2010,180.7681
30-06-2010,184.8653
29-06-2010,183.9006
28-06-2010,185.406
25-06-2010,184.9489
24-06-2010,182.4376
23-06-2010,184.1325
22-06-2010,181.961
21-06-2010,183.8882
18-06-2010,183.6378
17-06-2010,183.6639
16-06-2010,183.2321
15-06-2010,182.8791
14-06-2010,183.2194
11-06-2010,182.8778
10-06-2010,183.4231
09-06-2010,185.641
08-06-2010,187.4457
07-06-2010,183.4616
04-06-2010,179.8473
03-06-2010,181.6585
02-06-2010,184.4189
01-06-2010,182.3206
31-05-2010,180.5659
28-05-2010,180.9246
26-05-2010,184.6456
25-05-2010,180.5757
24-05-2010,177.0042
21-05-2010,178.0252
20-05-2010,177.836
19-05-2010,178.2542
18-05-2010,177.3344
17-05-2010,180.179
14-05-2010,178.9992
13-05-2010,178.046
12-05-2010,180.2617
11-05-2010,174.9515
10-05-2010,171.3405
07-05-2010,175.2995
06-05-2010,171.5425
05-05-2010,168.735
04-05-2010,169.3117
03-05-2010,168.056
30-04-2010,167.6259
29-04-2010,167.376
28-04-2010,166.685
27-04-2010,164.4634
26-04-2010,164.2762
23-04-2010,163.0906
22-04-2010,163.3663
21-04-2010,163.1565
20-04-2010,163.7067
19-04-2010,161.5672
16-04-2010,165.3259
15-04-2010,164.1244
13-04-2010,164.7243
12-04-2010,165.7412
09-04-2010,164.7066
08-04-2010,164.6136
07-04-2010,161.7864
06-04-2010,160.6025
05-04-2010,160.4726
31-03-2010,161.0141
30-03-2010,160.3536
29-03-2010,161.0614
26-03-2010,160.0937
25-03-2010,160.4559
23-03-2010,161.2635
22-03-2010,161.5262
19-03-2010,163.975
18-03-2010,164.1939
17-03-2010,165.1322
15-03-2010,161.8328
12-03-2010,163.506
11-03-2010,161.7539
10-03-2010,164.1964
09-03-2010,164.0165
08-03-2010,165.6364
05-03-2010,167.0469
04-03-2010,167.3753
03-03-2010,167.6667
02-03-2010,165.1638
26-02-2010,164.3966
25-02-2010,161.9711
24-02-2010,161.6325
23-02-2010,163.9857
22-02-2010,165.2233
19-02-2010,164.465
18-02-2010,163.3772
17-02-2010,164.5359
16-02-2010,164.6687
15-02-2010,163.0728
11-02-2010,160.4358
10-02-2010,160.1937
09-02-2010,159.5011
08-02-2010,160.2398
05-02-2010,156.7994
04-02-2010,162.5458
03-02-2010,164.6993
02-02-2010,164.7893
01-02-2010,160.4303
29-01-2010,160.656
28-01-2010,161.771
27-01-2010,162.1449
25-01-2010,163.0489
22-01-2010,162.0068
21-01-2010,162.4064
20-01-2010,165.9672
19-01-2010,165.514
18-01-2010,165.9141
15-01-2010,165.4231
14-01-2010,165.5372
13-01-2010,165.576
12-01-2010,167.4435
11-01-2010,168.0538
08-01-2010,164.4388
07-01-2010,165.9938
06-01-2010,166.056
05-01-2010,166.3816
04-01-2010,165.6903
31-12-2009,164.9806
30-12-2009,163.4625
29-12-2009,164.877
24-12-2009,165.3653
23-12-2009,162.1305
22-12-2009,163.9972
21-12-2009,166.8108
18-12-2009,166.0015
17-12-2009,167.9774
16-12-2009,169.472
15-12-2009,166.5294
14-12-2009,167.3415
11-12-2009,169.798
10-12-2009,168.4213
09-12-2009,171.0406
08-12-2009,173.9247
07-12-2009,170.6286
04-12-2009,178.0902
03-12-2009,180.1687
02-12-2009,179.3809
01-12-2009,177.4368
30-11-2009,174.4004
27-11-2009,174.5292
26-11-2009,175.2482
25-11-2009,174.5621
24-11-2009,174.6146
23-11-2009,173.5879
20-11-2009,170.4719
19-11-2009,168.9064
18-11-2009,169.8339
17-11-2009,167.7189
16-11-2009,166.7137
13-11-2009,165.0704
12-11-2009,166.3274
11-11-2009,166.3953
10-11-2009,164.0508
09-11-2009,165.5185
06-11-2009,164.3757
05-11-2009,164.4121
04-11-2009,164.9757
03-11-2009,159.6472
30-10-2009,157.3911
29-10-2009,157.6704
28-10-2009,156.6862
27-10-2009,156.4182
26-10-2009,157.6962
23-10-2009,158.1924
22-10-2009,157.9438
21-10-2009,157.0304
20-10-2009,157.2292
16-10-2009,155.6418
15-10-2009,155.1403
14-10-2009,157.9506
12-10-2009,157.3149
09-10-2009,156.2889
08-10-2009,156.7347
07-10-2009,157.3958
06-10-2009,154.5379
05-10-2009,153.3312
01-10-2009,154.6266
29-09-2009,153.0796
25-09-2009,153.7048
24-09-2009,156.6748
23-09-2009,156.343
22-09-2009,157.1748
18-09-2009,156.9576
17-09-2009,157.2763
16-09-2009,158.0076
15-09-2009,155.6884
14-09-2009,155.6028
11-09-2009,155.6308
10-09-2009,153.6972
09-09-2009,155.1284
08-09-2009,157.0501
07-09-2009,155.559
04-09-2009,155.1612
03-09-2009,154.3989
02-09-2009,150.6922
01-09-2009,148.8866
31-08-2009,149.4973
28-08-2009,149.4794
27-08-2009,148.691
26-08-2009,149.1737
25-08-2009,148.7485
24-08-2009,148.8407
21-08-2009,147.689
20-08-2009,147.8818
19-08-2009,146.5786
18-08-2009,147.1997
17-08-2009,146.9097
14-08-2009,148.7583
13-08-2009,148.1392
12-08-2009,146.8671
11-08-2009,146.0239
10-08-2009,146.7728
07-08-2009,148.0005
06-08-2009,147.1874
05-08-2009,148.0334
04-08-2009,145.9799
03-08-2009,147.0978
31-07-2009,145.2777
30-07-2009,145.5717
29-07-2009,146.0545
28-07-2009,148.267
27-07-2009,148.424
24-07-2009,147.9935
23-07-2009,149.0236
22-07-2009,147.3195
21-07-2009,147.3676
20-07-2009,148.5446
17-07-2009,146.6024
16-07-2009,146.8708
15-07-2009,146.0041
14-07-2009,145.0847
13-07-2009,144.6529
10-07-2009,142.8465
09-07-2009,144.2524
08-07-2009,145.1873
07-07-2009,144.7904
06-07-2009,142.2411
03-07-2009,143.2534
02-07-2009,143.1953
01-07-2009,143.405
30-06-2009,144.2
29-06-2009,144.9993
26-06-2009,146.4366
25-06-2009,145.1541
24-06-2009,144.3118
23-06-2009,144.1187
22-06-2009,143.178
19-06-2009,143.9144
18-06-2009,144.1679
17-06-2009,143.2698
16-06-2009,143.2831
15-06-2009,143.1007
12-06-2009,144.2489
11-06-2009,144.734
10-06-2009,145.5202
09-06-2009,145.181
08-06-2009,143.6485
05-06-2009,147.4228
04-06-2009,146.1054
03-06-2009,146.8712
02-06-2009,146.986
01-06-2009,148.5376
29-05-2009,147.2411
28-05-2009,145.5379
27-05-2009,145.0214
26-05-2009,143.7719
25-05-2009,144.1211
22-05-2009,144.0421
21-05-2009,142.8026
20-05-2009,141.9923
19-05-2009,140.293
18-05-2009,143.5481
15-05-2009,147.0474
14-05-2009,147.5987
13-05-2009,146.555
12-05-2009,146.3909
11-05-2009,144.1705
08-05-2009,145.0214
07-05-2009,144.8931
06-05-2009,143.5612
05-05-2009,143.9175
04-05-2009,140.6203
29-04-2009,144.2244
28-04-2009,145.2542
27-04-2009,146.2835
24-04-2009,145.744
23-04-2009,144.2484
22-04-2009,142.6832
21-04-2009,143.7364
20-04-2009,139.6113
17-04-2009,139.2738
16-04-2009,141.3349
15-04-2009,142.9554
09-04-2009,141.7188
08-04-2009,144.0259
06-04-2009,141.3098
02-04-2009,147.7862
01-04-2009,150.4482
31-03-2009,150.2908
30-03-2009,151.4034
27-03-2009,150.4717
26-03-2009,151.838
25-03-2009,150.4082
24-03-2009,150.0852
23-03-2009,154.5543
20-03-2009,154.0914
19-03-2009,152.8336
18-03-2009,150.2519
17-03-2009,151.4694
16-03-2009,152.93
13-03-2009,152.7152
12-03-2009,151.9054
09-03-2009,155.5357
06-03-2009,155.1763
05-03-2009,152.7758
04-03-2009,152.0317
03-03-2009,153.5064
02-03-2009,157.8379
27-02-2009,153.8442
26-02-2009,153.0874
25-02-2009,153.0958
24-02-2009,158.616
20-02-2009,157.1233
19-02-2009,155.9413
18-02-2009,154.5615
17-02-2009,152.0573
16-02-2009,147.7379
13-02-2009,147.1702
12-02-2009,147.9087
11-02-2009,144.8047
10-02-2009,140.4378
09-02-2009,140.9276
06-02-2009,143.3228
05-02-2009,143.7048
04-02-2009,141.2836
03-02-2009,141.6797
02-02-2009,144.1144
30-01-2009,144.8944
29-01-2009,138.3388
28-01-2009,140.2367
27-01-2009,140.9204
23-01-2009,138.314
22-01-2009,133.6721
21-01-2009,136.1774
20-01-2009,131.6016
19-01-2009,131.62
16-01-2009,129.367
15-01-2009,128.4297
14-01-2009,129.6546
13-01-2009,128.3856
12-01-2009,132.678
09-01-2009,134.4056
07-01-2009,135.1144
06-01-2009,132.2203
05-01-2009,133.8488
02-01-2009,136.7943
01-01-2009,135.6212
31-12-2008,134.8552
30-12-2008,135.7662
29-12-2008,138.1917
26-12-2008,129.0348
24-12-2008,131.9692
23-12-2008,131.7588
22-12-2008,129.1108
19-12-2008,127.2399
18-12-2008,132.8096
17-12-2008,130.1269
16-12-2008,128.3798
15-12-2008,127.7858
12-12-2008,127.6951
11-12-2008,128.3263
10-12-2008,124.3831
08-12-2008,122.5226
05-12-2008,123.6122
04-12-2008,124.0206
03-12-2008,124.4147
02-12-2008,125.8008
01-12-2008,128.4036
28-11-2008,130.6394
26-11-2008,131.2288
25-11-2008,129.2349
24-11-2008,131.8221
21-11-2008,122.3828
20-11-2008,121.4384
19-11-2008,118.3954
18-11-2008,118.0592
17-11-2008,117.7674
14-11-2008,116.4502
12-11-2008,115.2064
11-11-2008,113.9614
10-11-2008,114.8335
07-11-2008,114.4132
06-11-2008,113.7453
05-11-2008,114.7384
04-11-2008,115.2222
03-11-2008,116.0244
31-10-2008,115.8495
29-10-2008,120.3716
27-10-2008,116.5408
24-10-2008,111.7547
23-10-2008,116.7362
22-10-2008,120.5412
20-10-2008,126.5342
17-10-2008,125.8478
16-10-2008,131.5445
15-10-2008,132.5668
14-10-2008,130.7677
13-10-2008,134.3254
10-10-2008,144.199
08-10-2008,143.4864
07-10-2008,136.5591
06-10-2008,128.1427
03-10-2008,127.4992
01-10-2008,132.7524
29-09-2008,132.7786
26-09-2008,130.2448
25-09-2008,132.7054
24-09-2008,131.4403
23-09-2008,131.7158
22-09-2008,127.9738
19-09-2008,125.2968
18-09-2008,130.3429
17-09-2008,117.65
16-09-2008,117.5252
15-09-2008,115.7316
12-09-2008,112.1324
11-09-2008,109.1913
10-09-2008,112.9776
09-09-2008,116.0701
08-09-2008,115.4154
05-09-2008,114.2549
04-09-2008,116.4868
02-09-2008,114.8683
01-09-2008,118.9118
29-08-2008,118.433
28-08-2008,117.6466
27-08-2008,117.8595
26-08-2008,115.4241
25-08-2008,116.9781
22-08-2008,116.4565
21-08-2008,115.7376
20-08-2008,114.1179
18-08-2008,111.5822
14-08-2008,115.4378
13-08-2008,113.7813
12-08-2008,111.01
11-08-2008,117.3502
08-08-2008,118.0127
07-08-2008,119.5652
06-08-2008,120.1814
05-08-2008,120.8767
04-08-2008,124.7453
01-08-2008,124.6004
31-07-2008,125.293
30-07-2008,125.5232
29-07-2008,127.7243
28-07-2008,127.0818
25-07-2008,127.2892
24-07-2008,125.883
23-07-2008,127.9329
22-07-2008,134.2971
21-07-2008,133.379
18-07-2008,132.9567
17-07-2008,133.8646
16-07-2008,135.8892
15-07-2008,136.9622
14-07-2008,132.5821
11-07-2008,131.0918
10-07-2008,129.9142
09-07-2008,128.7946
08-07-2008,130.3387
07-07-2008,128.4621
04-07-2008,130.0844
03-07-2008,131.6014
02-07-2008,131.2059
30-06-2008,129.5989
27-06-2008,127.7986
26-06-2008,123.4599
25-06-2008,123.0018
24-06-2008,123.5174
23-06-2008,125.9063
20-06-2008,125.1956
19-06-2008,124.1577
18-06-2008,122.8071
17-06-2008,122.7299
16-06-2008,121.1685
13-06-2008,119.996
12-06-2008,120.8278
11-06-2008,121.4673
10-06-2008,122.8796
09-06-2008,125.5979
06-06-2008,122.472
05-06-2008,121.2314
04-06-2008,121.1711
03-06-2008,123.3806
02-06-2008,121.9752
30-05-2008,121.3823
29-05-2008,123.7441
28-05-2008,123.8394
27-05-2008,128.3212
26-05-2008,127.1421
23-05-2008,127.9811
22-05-2008,129.7316
21-05-2008,128.0096
20-05-2008,125.4033
16-05-2008,122.3232
15-05-2008,119.0972
14-05-2008,118.465
13-05-2008,119.8891
12-05-2008,119.2762
09-05-2008,119.0664
08-05-2008,118.2279
07-05-2008,116.811
06-05-2008,115.9056
05-05-2008,112.4289
02-05-2008,112.7122
30-04-2008,113.9475
29-04-2008,115.6339
28-04-2008,116.2134
25-04-2008,115.2112
24-04-2008,117.0387
23-04-2008,118.7708
22-04-2008,119.3221
21-04-2008,118.5365
17-04-2008,123.2843
16-04-2008,120.9418
15-04-2008,120.8168
11-04-2008,119.968
10-04-2008,121.1241
09-04-2008,117.8021
08-04-2008,119.6374
07-04-2008,118.5659
04-04-2008,117.4798
03-04-2008,116.5265
02-04-2008,116.0063
31-03-2008,121.6
28-03-2008,122.9325
27-03-2008,123.5712
26-03-2008,123.2218
25-03-2008,121.2188
24-03-2008,119.6587
19-03-2008,130.619
18-03-2008,132.5363
17-03-2008,135.3486
14-03-2008,130.8648
13-03-2008,129.7002
12-03-2008,127.8297
11-03-2008,128.7955
10-03-2008,128.4696
07-03-2008,128.7384
05-03-2008,126.4058
04-03-2008,128.4142
03-03-2008,127.8707
29-02-2008,125.6267
28-02-2008,123.7539
27-02-2008,123.7345
26-02-2008,121.1215
25-02-2008,123.2806
22-02-2008,122.853
21-02-2008,122.7762
20-02-2008,120.6827
19-02-2008,118.7851
18-02-2008,116.7057
15-02-2008,117.32
14-02-2008,117.434
13-02-2008,116.8754
12-02-2008,118.6373
11-02-2008,119.547
08-02-2008,117.5608
07-02-2008,116.6294
06-02-2008,114.9167
05-02-2008,114.1475
04-02-2008,115.2405
01-02-2008,119.4271
31-01-2008,118.3494
30-01-2008,118.4716
29-01-2008,118.8613
28-01-2008,117.6757
25-01-2008,118.0812
24-01-2008,114.3958
23-01-2008,114.3012
22-01-2008,111.49
21-01-2008,112.0738
18-01-2008,111.5832
17-01-2008,112.7496
16-01-2008,112.6326
15-01-2008,115.6392
14-01-2008,116.5547
11-01-2008,114.3184
10-01-2008,111.8541
09-01-2008,113.578
08-01-2008,111.6774
07-01-2008,109.7161
04-01-2008,109.9941
03-01-2008,111.1956
02-01-2008,108.0189
01-01-2008,107.4552
31-12-2007,107.4312
28-12-2007,106.5047
27-12-2007,105.7189
26-12-2007,104.0609
24-12-2007,104.328
20-12-2007,103.1778
19-12-2007,103.3839
18-12-2007,102.7691
17-12-2007,101.0846
14-12-2007,102.215
13-12-2007,103.8867
12-12-2007,103.6732
11-12-2007,103.5809
10-12-2007,102.7793
07-12-2007,102.8334
06-12-2007,101.592
05-12-2007,103.1965
04-12-2007,101.6864
03-12-2007,101.1921
30-11-2007,102.8849
29-11-2007,104.7461
28-11-2007,103.14
27-11-2007,107.0148
26-11-2007,108.2284
23-11-2007,104.6568
22-11-2007,103.1936
21-11-2007,102.383
20-11-2007,101.4207
19-11-2007,101.1504
16-11-2007,101.5334
15-11-2007,103.3517
14-11-2007,103.77
13-11-2007,103.3146
12-11-2007,104.8892
08-11-2007,106.8653
07-11-2007,107.8849
06-11-2007,104.8709
05-11-2007,103.0415
02-11-2007,101.6853
01-11-2007,101.719
31-10-2007,100.5786
30-10-2007,100.9113
29-10-2007,101.9446
26-10-2007,100.1292
25-10-2007,98.8533
24-10-2007,97.9524
23-10-2007,98.2683
22-10-2007,98.2718
19-10-2007,99.906
18-10-2007,97.8512
17-10-2007,98.5485
16-10-2007,97.8958
15-10-2007,97.1493
12-10-2007,96.2723
11-10-2007,96.0995
10-10-2007,95.2852
09-10-2007,94.2961
08-10-2007,94.9965
05-10-2007,95.0643
04-10-2007,94.0706
03-10-2007,95.4366
01-10-2007,96.8525
28-09-2007,95.9218
27-09-2007,94.9212
26-09-2007,94.9084
25-09-2007,94.8045
24-09-2007,95.5443
21-09-2007,95.9411
20-09-2007,95.0597
19-09-2007,95.3659
18-09-2007,95.348
17-09-2007,94.0988
14-09-2007,93.6035
13-09-2007,93.7595
12-09-2007,94.3537
11-09-2007,93.5808
10-09-2007,93.6644
07-09-2007,92.6713
06-09-2007,91.4718
05-09-2007,91.1445
04-09-2007,90.2886
03-09-2007,90.1267
31-08-2007,89.68
30-08-2007,89.63
29-08-2007,89.857
28-08-2007,89.9002
27-08-2007,88.6415
24-08-2007,89.0755
23-08-2007,88.725
22-08-2007,88.3734
21-08-2007,88.2634
17-08-2007,89.0188
16-08-2007,89.4868
14-08-2007,89.0529
13-08-2007,89.1022
10-08-2007,88.6452
09-08-2007,88.8957
08-08-2007,89.2297
07-08-2007,88.6269
06-08-2007,89.4425
03-08-2007,88.237
02-08-2007,88.2598
01-08-2007,87.8527
31-07-2007,88.4689
30-07-2007,87.9998
27-07-2007,87.9998
